,ts_code,symbol,name,area,industry,list_date
344,000863.SZ,000863.SZ#E,三湘印象,上海,区域地产,19970925
345,000868.SZ,000868.SZ#E,安凯客车,安徽,汽车整车,19970725
346,000869.SZ,000869.SZ#E,张裕A,山东,红黄酒,20001026
347,000875.SZ,000875.SZ#E,吉电股份,吉林,火力发电,20020926
348,000876.SZ,000876.SZ#E,新希望,四川,饲料,19980311
349,000877.SZ,000877.SZ#E,天山股份,新疆,水泥,19990107
350,000878.SZ,000878.SZ#E,云南铜业,云南,铜,19980602
351,000880.SZ,000880.SZ#E,潍柴重机,山东,专用机械,19980402
352,000881.SZ,000881.SZ#E,中广核技,辽宁,综合类,19980902
353,000882.SZ,000882.SZ#E,华联股份,北京,其他商业,19980616
354,000883.SZ,000883.SZ#E,湖北能源,湖北,火力发电,19980519
355,000885.SZ,000885.SZ#E,城发环境,河南,环境保护,19990319
356,000886.SZ,000886.SZ#E,海南高速,海南,区域地产,19980123
357,000887.SZ,000887.SZ#E,中鼎股份,安徽,汽车配件,19981203
358,000888.SZ,000888.SZ#E,峨眉山A,四川,旅游景点,19971021
359,000889.SZ,000889.SZ#E,ST中嘉,河北,通信设备,19971218
360,000890.SZ,000890.SZ#E,法尔胜,江苏,环境保护,19990119
361,000892.SZ,000892.SZ#E,欢瑞世纪,重庆,影视音像,19990115
362,000893.SZ,000893.SZ#E,亚钾国际,广东,农药化肥,19981224
363,000895.SZ,000895.SZ#E,双汇发展,河南,食品,19981210
364,000897.SZ,000897.SZ#E,津滨发展,天津,区域地产,19990422
365,000898.SZ,000898.SZ#E,鞍钢股份,辽宁,普钢,19971225
366,000899.SZ,000899.SZ#E,赣能股份,江西,火力发电,19971126
367,000900.SZ,000900.SZ#E,现代投资,湖南,路桥,19990128
368,000901.SZ,000901.SZ#E,航天科技,黑龙江,汽车配件,19990401
369,000902.SZ,000902.SZ#E,新洋丰,湖北,农药化肥,19990408
370,000903.SZ,000903.SZ#E,云内动力,云南,汽车配件,19990415
371,000905.SZ,000905.SZ#E,厦门港务,福建,港口,19990429
372,000906.SZ,000906.SZ#E,浙商中拓,浙江,仓储物流,19990707
373,000908.SZ,000908.SZ#E,景峰医药,湖南,化学制药,19990203
374,000909.SZ,000909.SZ#E,ST数源,浙江,综合类,19990507
375,000910.SZ,000910.SZ#E,大亚圣象,江苏,家居用品,19990630
376,000911.SZ,000911.SZ#E,南宁糖业,广西,食品,19990527
377,000912.SZ,000912.SZ#E,泸天化,四川,农药化肥,19990603
378,000913.SZ,000913.SZ#E,钱江摩托,浙江,摩托车,19990514
379,000915.SZ,000915.SZ#E,华特达因,山东,化学制药,19990609
380,000917.SZ,000917.SZ#E,电广传媒,湖南,影视音像,19990325
381,000918.SZ,000918.SZ#E,*ST嘉凯,浙江,全国地产,19990720
382,000919.SZ,000919.SZ#E,金陵药业,江苏,化学制药,19991118
383,000920.SZ,000920.SZ#E,沃顿科技,贵州,环境保护,19990616
384,000921.SZ,000921.SZ#E,海信家电,广东,家用电器,19990713
385,000922.SZ,000922.SZ#E,佳电股份,黑龙江,电气设备,19990618
386,000923.SZ,000923.SZ#E,河钢资源,河北,普钢,19990714
387,000925.SZ,000925.SZ#E,众合科技,浙江,运输设备,19990611
388,000926.SZ,000926.SZ#E,福星股份,湖北,区域地产,19990618
389,000927.SZ,000927.SZ#E,中国铁物,天津,仓储物流,19990727
390,000928.SZ,000928.SZ#E,中钢国际,吉林,建筑工程,19990312
391,000929.SZ,000929.SZ#E,兰州黄河,甘肃,啤酒,19990623
392,000930.SZ,000930.SZ#E,中粮科技,安徽,农业综合,19990712
393,000931.SZ,000931.SZ#E,中关村,北京,化学制药,19990712
394,000932.SZ,000932.SZ#E,华菱钢铁,湖南,普钢,19990803
395,000933.SZ,000933.SZ#E,神火股份,河南,铝,19990831
396,000935.SZ,000935.SZ#E,四川双马,四川,水泥,19990824
397,000936.SZ,000936.SZ#E,华西股份,江苏,化纤,19990810
398,000937.SZ,000937.SZ#E,冀中能源,河北,煤炭开采,19990909
399,000938.SZ,000938.SZ#E,紫光股份,北京,软件服务,19991104
400,000948.SZ,000948.SZ#E,南天信息,云南,软件服务,19991014
401,000949.SZ,000949.SZ#E,新乡化纤,河南,化纤,19991021
402,000950.SZ,000950.SZ#E,重药控股,重庆,医药商业,19990916
403,000951.SZ,000951.SZ#E,中国重汽,山东,汽车整车,19991125
404,000952.SZ,000952.SZ#E,广济药业,湖北,化学制药,19991112
