,ts_code,name,market,publisher,category,base_date,base_point,list_date,symbol
78,801201.SI,零售(申万),SW,申万研究,二级行业指数,19991230,1000.0,,801201.SI#I
79,801202.SI,贸易Ⅱ(申万),SW,申万研究,二级行业指数,19991230,1000.0,,801202.SI#I
80,801203.SI,一般零售(申万),SW,申万研究,二级行业指数,19991230,1000.0,20140221,801203.SI#I
81,801204.SI,专业零售(申万),SW,申万研究,二级行业指数,19991230,1000.0,20140221,801204.SI#I
82,801205.SI,商业物业经营(申万),SW,申万研究,二级行业指数,19991230,1000.0,20140221,801205.SI#I
83,801211.SI,餐饮Ⅱ(申万),SW,申万研究,二级行业指数,19991230,1000.0,,801211.SI#I
84,801212.SI,景点(申万),SW,申万研究,二级行业指数,19991230,1000.0,,801212.SI#I
85,801213.SI,酒店Ⅱ(申万),SW,申万研究,二级行业指数,19991230,1000.0,,801213.SI#I
86,801214.SI,旅游综合Ⅱ(申万),SW,申万研究,二级行业指数,19991230,1000.0,,801214.SI#I
87,801215.SI,其他休闲服务Ⅱ(申万),SW,申万研究,二级行业指数,19991230,1000.0,20140221,801215.SI#I
88,801221.SI,传媒(申万),SW,申万研究,二级行业指数,19991230,1000.0,,801221.SI#I
89,801222.SI,计算机应用(申万),SW,申万研究,二级行业指数,19991230,1000.0,,801222.SI#I
90,801223.SI,通信运营Ⅱ(申万),SW,申万研究,二级行业指数,19991230,1000.0,,801223.SI#I
91,801224.SI,网络服务(申万),SW,申万研究,二级行业指数,19991230,1000.0,,801224.SI#I
92,801231.SI,综合Ⅱ(申万),SW,申万研究,二级行业指数,19991230,1000.0,,801231.SI#I
93,801711.SI,水泥制造Ⅱ(申万),SW,申万研究,二级行业指数,19991230,1000.0,20140221,801711.SI#I
94,801712.SI,玻璃制造Ⅱ(申万),SW,申万研究,二级行业指数,19991230,1000.0,20140221,801712.SI#I
95,801713.SI,其他建材Ⅱ(申万),SW,申万研究,二级行业指数,19991230,1000.0,20140221,801713.SI#I
96,801721.SI,房屋建设Ⅱ(申万),SW,申万研究,二级行业指数,19991230,1000.0,20140221,801721.SI#I
97,801722.SI,装修装饰Ⅱ(申万),SW,申万研究,二级行业指数,19991230,1000.0,20140221,801722.SI#I
98,801723.SI,基础建设(申万),SW,申万研究,二级行业指数,19991230,1000.0,20140221,801723.SI#I
99,801724.SI,专业工程(申万),SW,申万研究,二级行业指数,19991230,1000.0,20140221,801724.SI#I
100,801725.SI,园林工程Ⅱ(申万),SW,申万研究,二级行业指数,19991230,1000.0,20140221,801725.SI#I
101,801731.SI,电机Ⅱ(申万),SW,申万研究,二级行业指数,19991230,1000.0,20140221,801731.SI#I
102,801732.SI,电气自动化设备(申万),SW,申万研究,二级行业指数,19991230,1000.0,20140221,801732.SI#I
103,801733.SI,电源设备(申万),SW,申万研究,二级行业指数,19991230,1000.0,20140221,801733.SI#I
104,801734.SI,高低压设备(申万),SW,申万研究,二级行业指数,19991230,1000.0,20140221,801734.SI#I
105,801741.SI,航天装备Ⅱ(申万),SW,申万研究,二级行业指数,19991230,1000.0,20140221,801741.SI#I
106,801742.SI,航空装备Ⅱ(申万),SW,申万研究,二级行业指数,19991230,1000.0,20140221,801742.SI#I
107,801743.SI,地面兵装Ⅱ(申万),SW,申万研究,二级行业指数,19991230,1000.0,20140221,801743.SI#I
108,801744.SI,船舶制造Ⅱ(申万),SW,申万研究,二级行业指数,19991230,1000.0,20140221,801744.SI#I
109,801751.SI,营销传播(申万),SW,申万研究,二级行业指数,19991230,1000.0,20140221,801751.SI#I
110,801752.SI,互联网传媒(申万),SW,申万研究,二级行业指数,19991230,1000.0,20140221,801752.SI#I
111,801761.SI,文化传媒(申万),SW,申万研究,二级行业指数,19991230,1000.0,20140221,801761.SI#I
112,801881.SI,其他交运设备Ⅱ(申万),SW,申万研究,二级行业指数,19991230,1000.0,20140221,801881.SI#I
